"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Município";"Ano"
"Porto Rico do Maranhão (MA)";"5954"
"Presidente Dutra (MA)";"45155"
"Presidente Juscelino (MA)";"11356"
"Presidente Médici (MA)";"4696"
"Presidente Sarney (MA)";"17511"
"Presidente Vargas (MA)";"10549"
"Primeira Cruz (MA)";"13614"
"Raposa (MA)";"30839"
"Riachão (MA)";"22145"
"Ribamar Fiquene (MA)";"7420"
"Rosário (MA)";"38475"
"Sambaíba (MA)";"5568"
"Santa Filomena do Maranhão (MA)";"6697"
"Santa Helena (MA)";"41561"
"Santa Inês (MA)";"85014"
"Santa Luzia (MA)";"57635"
"Santa Luzia do Paruá (MA)";"24307"
"Santa Quitéria do Maranhão (MA)";"23957"
"Santa Rita (MA)";"37035"
"Santana do Maranhão (MA)";"10567"
"Santo Amaro do Maranhão (MA)";"13949"
"Santo Antônio dos Lopes (MA)";"14304"
"São Benedito do Rio Preto (MA)";"18364"
"São Bento (MA)";"46395"
"São Bernardo (MA)";"26943"
"São Domingos do Azeitão (MA)";"7992"
"São Domingos do Maranhão (MA)";"34034"
"São Félix de Balsas (MA)";"4402"
"São Francisco do Brejão (MA)";"9051"
"São Francisco do Maranhão (MA)";"12064"
"São João Batista (MA)";"18544"
"São João do Carú (MA)";"12251"
"São João do Paraíso (MA)";"9904"
"São João do Soter (MA)";"16889"
"São João dos Patos (MA)";"25020"
"São José de Ribamar (MA)";"244579"
"São José dos Basílios (MA)";"6957"
"São Luís (MA)";"1037775"
"São Luís Gonzaga do Maranhão (MA)";"17818"
"São Mateus do Maranhão (MA)";"38829"
"São Pedro da Água Branca (MA)";"14338"
"São Pedro dos Crentes (MA)";"5783"
"São Raimundo das Mangabeiras (MA)";"18672"
"São Raimundo do Doca Bezerra (MA)";"5650"
"São Roberto (MA)";"4544"
"São Vicente Ferrer (MA)";"19498"
"Satubinha (MA)";"8784"
"Senador Alexandre Costa (MA)";"10207"
"Senador La Rocque (MA)";"14700"
"Serrano do Maranhão (MA)";"10202"
"Sítio Novo (MA)";"17074"
"Sucupira do Norte (MA)";"10238"
"Sucupira do Riachão (MA)";"4985"
"Tasso Fragoso (MA)";"8862"
"Timbiras (MA)";"26484"
"Timon (MA)";"174465"
"Trizidela do Vale (MA)";"22484"
"Tufilândia (MA)";"5507"
"Tuntum (MA)";"36251"
"Turiaçu (MA)";"37491"
"Turilândia (MA)";"31638"
"Tutóia (MA)";"53356"
"Urbano Santos (MA)";"32812"
"Vargem Grande (MA)";"43261"
"Viana (MA)";"51442"
"Vila Nova dos Martírios (MA)";"10362"
"Vitória do Mearim (MA)";"30805"
"Vitorino Freire (MA)";"30845"
"Zé Doca (MA)";"40801"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1- Dados do Universo."
"2- Para a obtenção da variação absoluta e da taxa de crescimento geométrico do período 2010/2022 foram utilizadas a população residente em 2010 (reconstituída de acordo com a base territorial de 2022) e a população residente em 2022, sendo que para este último ano foi incluída a população estimada (aproximadamente 8 milhões de habitantes) para os domicílios particulares permanentes ocupados sem entrevista."
"3- Os dados apresentados foram atualizados em 27/10/23 e se referem aos dados coletados até o dia 28/05/2023, com a incorporação das revisões realizadas entre 29/05/2023 e 07/07/2023."
"4- Os dados referentes aos municípios Abel Figueiredo (PA) e São Pedro da Água Branca (MA) foram corrigidos no dia 22/12/2023, impactando nos totais dos estados do Pará e do Maranhão e nos totais das Grandes Regiões do Norte e Nordeste."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
